file,line,column,type,code,message,docs,severity,link
includes/class-saml-admin-page.php,146,18,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=146
includes/class-saml-admin-page.php,146,61,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=146
includes/class-saml-admin-page.php,236,15,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=236
includes/class-saml-admin-page.php,249,15,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=249
includes/class-saml-admin-page.php,250,93,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=250
includes/class-saml-admin-page.php,252,15,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=252
includes/class-saml-admin-page.php,252,46,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=252
includes/class-saml-admin-page.php,252,46,WARNING,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,"$_GET[&#039;settings-updated&#039;] not unslashed before sanitization. Use wp_unslash() or similar",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=252
includes/class-saml-admin-page.php,252,46,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,"Detected usage of a non-sanitized input variable: $_GET[&#039;settings-updated&#039;]",,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=252
includes/class-saml-admin-page.php,738,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=738
includes/class-saml-admin-page.php,739,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=739
includes/class-saml-admin-page.php,765,63,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=765
includes/class-saml-admin-page.php,781,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=781
includes/class-saml-admin-page.php,782,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=782
includes/class-saml-admin-page.php,783,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=783
includes/class-saml-admin-page.php,801,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=801
includes/class-saml-admin-page.php,802,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=802
includes/class-saml-admin-page.php,820,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=820
includes/class-saml-admin-page.php,821,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=821
includes/class-saml-admin-page.php,822,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=822
includes/class-saml-admin-page.php,840,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=840
includes/class-saml-admin-page.php,841,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=841
includes/class-saml-admin-page.php,857,63,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=857
includes/class-saml-admin-page.php,860,71,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=860
includes/class-saml-admin-page.php,865,63,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=865
includes/class-saml-admin-page.php,876,63,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=876
includes/class-saml-admin-page.php,876,67,ERROR,WordPress.WP.I18n.UnorderedPlaceholdersText,"Multiple placeholders in translatable strings should be ordered. Expected ""%1$s, %2$s"", but got ""%s, %s"" in 'Register this site as an SP/application using the SP Entity ID (%s) and ACS URL (%s) from the SP Metadata tab.'.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#variables,5,https://securityblog.denison.edu/wp-admin/plugin-editor.php?plugin=edu-saml-sp%2Fedu-saml-sp.php&file=edu-saml-sp%2Fincludes%2Fclass-saml-admin-page.php&line=876
.gitignore,0,0,ERROR,hidden_files,"Hidden files are not permitted.",,8,
